date,impressions,clicks,conversions,cost,cpc,revenue,rpc,profit
2016-01-12,0,23,0,230.000000,10.00000,690.000000,30.00000,460.00000
2016-01-11,0,13,0,130.000000,10.00000,390.000000,30.00000,260.00000
2016-01-10,0,12,0,120.000000,10.00000,360.000000,30.00000,240.00000
2016-01-09,0,11,0,110.000000,10.00000,330.000000,30.00000,220.00000
2016-01-08,0,15,0,150.000000,10.00000,450.000000,30.00000,300.00000
2016-01-07,0,40,0,400.000000,10.00000,1200.000000,30.00000,800.00000
2016-01-06,-1599200000,-2,325,-5790.000000,2895.00000,-17370.000000,8685.00000,-11580.00000
2016-01-05,0,10,0,100.000000,10.00000,300.000000,30.00000,200.00000
2016-01-04,0,14,0,140.000000,10.00000,420.000000,30.00000,280.00000
2016-01-03,0,23,0,230.000000,10.00000,690.000000,30.00000,460.00000
2016-01-02,0,9,0,90.000000,10.00000,270.000000,30.00000,180.00000
2016-01-01,0,7,0,70.000000,10.00000,210.000000,30.00000,140.00000
,-1599200000,175,325,-4020.000000,-22.971427,-12060.000000,-68.914284,-8040.00000
